"","Cast.Ballot","Represented","Close.To.Party","Contacted","log.Magnitude","Age","Age.Squared.by.100","Male","Education","Married","Union.Member","Household.Income","Rural","Small.Town","Suburb","White.Collar","Worker","Hakka","MinNan","Mainlander"
"60071",1,0,0,1,2.30258509299405,37,13.69,0,8,1,0,4,0,0,0,1,0,0,0,1
"60072",1,0,0,1,1.38629436111989,41,16.81,0,5,1,0,1,0,1,0,0,1,0,1,0
"60073",1,0,0,1,1.38629436111989,43,18.49,0,3,0,0,1,0,1,0,0,1,0,1,0
"60074",1,NA,0,1,2.30258509299405,44,19.36,1,3,0,0,NA,0,0,0,NA,NA,0,0,0
"60075",0,0,0,1,2.19722457733622,36,12.96,0,6,1,0,3,1,0,0,1,0,0,1,0
"60076",1,1,0,1,2.19722457733622,39,15.21,1,7,1,0,4,1,0,0,1,0,0,1,0
"60077",0,0,0,0,2.30258509299405,29,8.41,1,8,0,0,NA,0,0,0,1,0,0,1,0
"60078",1,0,0,1,1.38629436111989,26,6.76,1,7,0,0,4,0,1,0,1,0,0,1,0
"60079",1,0,0,1,1.79175946922805,62,38.44,1,3,1,0,NA,1,0,0,NA,NA,0,1,0
"60080",1,0,1,1,1.38629436111989,39,15.21,1,8,1,0,5,0,1,0,1,0,0,1,0
"60081",1,0,0,1,2.39789527279837,54,29.16,0,6,1,0,1,1,0,0,1,0,0,1,0
"60082",1,NA,1,0,1.79175946922805,71,50.41,0,5,1,0,NA,1,0,0,NA,NA,0,1,0
"60083",1,0,1,1,2.07944154167984,41,16.81,1,7,1,0,2,1,0,0,1,0,0,1,0
"60084",1,1,1,1,2.07944154167984,59,34.81,1,3,1,0,1,1,0,0,1,0,0,1,0
"60085",1,NA,1,1,2.19722457733622,58,33.64,0,4,1,0,4,0,0,1,NA,NA,0,1,0
"60086",1,1,1,1,2.19722457733622,38,14.44,1,5,1,1,3,0,0,1,1,0,0,1,0
"60087",1,NA,NA,1,0,45,20.25,0,5,1,0,2,0,0,1,NA,NA,0,1,0
"60088",1,0,0,0,2.39789527279837,53,28.09,0,3,1,0,3,1,0,0,0,1,0,1,0
"60089",1,0,0,0,1.79175946922805,25,6.25,1,6,0,0,1,1,0,0,0,1,0,1,0
"60090",1,1,1,1,1.09861228866811,32,10.24,1,6,0,1,NA,1,0,0,0,0,1,0,0
"60091",1,0,0,1,1.09861228866811,64,40.96,1,1,1,0,NA,1,0,0,0,0,1,0,0
"60092",1,1,0,1,2.39789527279837,33,10.89,1,7,1,0,NA,1,0,0,1,0,0,1,0
"60093",1,0,0,1,1.09861228866811,65,42.25,0,1,1,0,NA,1,0,0,NA,NA,1,0,0
"60094",0,0,0,1,1.09861228866811,48,23.04,0,5,1,1,1,1,0,0,0,1,1,0,0
"60095",0,0,0,1,2.39789527279837,31,9.61,1,7,0,0,5,1,0,0,0,1,0,1,0
"60096",1,1,1,1,0.693147180559945,38,14.44,1,6,1,0,NA,1,0,0,0,0,0,1,0
"60097",0,1,1,1,2.30258509299405,55,30.25,1,6,1,0,5,0,0,0,1,0,0,1,0
"60098",1,1,1,1,2.07944154167984,76,57.76,0,1,1,0,NA,1,0,0,NA,NA,0,1,0
"60099",1,0,0,1,1.09861228866811,47,22.09,1,8,1,0,5,0,0,1,1,0,0,0,1
"60100",1,0,1,1,1.79175946922805,44,19.36,1,3,1,0,2,1,0,0,0,1,0,1,0
"60101",1,0,1,0,2.56494935746154,31,9.61,0,7,0,0,5,0,0,1,1,0,0,0,1
"60102",1,0,0,1,2.30258509299405,46,21.16,0,1,1,1,1,1,0,0,0,1,0,1,0
"60103",1,0,0,0,2.30258509299405,75,56.25,1,1,1,0,1,1,0,0,NA,NA,0,1,0
"60104",1,1,1,0,2.30258509299405,32,10.24,0,7,1,0,5,0,0,0,1,0,1,0,0
"60105",1,1,0,1,1.38629436111989,41,16.81,1,6,0,0,4,0,1,0,1,0,0,0,1
"60106",1,1,1,1,2.07944154167984,38,14.44,1,8,1,0,5,1,0,0,1,0,0,1,0
"60107",1,1,1,1,2.07944154167984,49,24.01,1,5,1,0,NA,1,0,0,0,1,1,0,0
"60108",1,0,0,0,1.79175946922805,41,16.81,1,8,1,0,5,0,0,1,1,0,0,1,0
"60109",1,1,1,1,2.19722457733622,51,26.01,0,7,1,0,3,0,0,1,1,0,0,1,0
"60110",1,1,0,0,1.70474809223843,49,24.01,0,3,1,1,1,0,0,0,1,0,0,1,0
"60111",1,0,1,1,1.94591014905531,46,21.16,1,7,1,1,4,0,0,1,1,0,0,1,0
"60112",1,0,0,1,1.70474809223843,30,9,1,8,0,0,NA,0,0,0,1,0,1,0,0
"60113",1,1,0,1,1.70474809223843,31,9.61,0,6,1,1,NA,0,0,0,NA,NA,0,1,0
"60114",1,1,1,1,2.19722457733622,60,36,1,3,1,0,2,0,0,1,1,0,0,1,0
"60115",1,0,0,1,2.07944154167984,49,24.01,1,3,1,0,3,1,0,0,1,0,0,1,0
"60116",1,0,1,1,2.19722457733622,30,9,0,6,1,0,NA,0,0,1,1,0,0,0,1
"60117",0,0,0,1,2.19722457733622,38,14.44,0,6,1,0,2,0,0,1,0,1,0,1,0
"60118",1,0,0,1,2.19722457733622,42,17.64,0,5,1,0,1,0,0,1,0,1,1,0,0
"60119",1,1,1,0,2.30258509299405,23,5.29,1,6,0,0,5,0,0,0,0,1,0,0,1
"60120",1,1,1,1,2.30258509299405,44,19.36,1,8,1,0,5,0,0,0,1,0,1,0,0
"60121",1,1,1,1,1.09861228866811,54,29.16,0,5,1,1,NA,0,0,1,NA,NA,0,1,0
"60122",1,0,0,0,1.70474809223843,41,16.81,0,6,1,0,4,0,0,0,1,0,0,0,1
"60123",1,1,0,1,0.693147180559945,29,8.41,0,5,1,1,5,1,0,0,0,1,0,0,1
"60124",1,0,0,1,2.30258509299405,23,5.29,0,5,0,0,2,0,0,1,1,0,0,1,0
"60125",1,0,0,1,1.79175946922805,56,31.36,1,1,0,0,1,1,0,0,0,1,0,1,0
